"Year","AFG","ALB","DZA","AND","AGO","AIA","ATA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","KHM","CAN","CPV","CYM","CAF","TCD","CHL","CHN","CXR","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","CSK","PRK","COD","VDR","DNK","DJI","DMA","DOM","East & West Pakistan","ECU","EGY","SLV","GNQ","ERI","EST","ETH","FRO","FLK","DEW","FSM","Federation of Malaya-Singapore","FJI","FIN","YMD","DDR","PCZ","FORMER YEMEN","FRA","French Equatorial Africa","GUF","French Indo-China","PYF","French West Africa","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GTM","GIN","GNB","GUY","HTI","HND","HKG","HUN","ISL","IND","IDN","IRQ","IRL","IRN","ISR","ITA","JAM","JPN","Japan (Excluding The Ruyuku Islands)","JOR","KAZ","KEN","KIR","KSV","KWT","Kuwaiti Oil Fires","KGZ","LAO","LVA","LBN","Leeward Islands","LSO","LBR","LBY","LIE","LTU","LUX","MAC","MKD","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MEX","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","ANT","Netherland Antilles and Aruba","NLD","NCL","NZL","NIC","NER","NGA","NIU","NOR","PSE","OMN","Pacific Islands (Palau)","PAK","PLW","PAN","PNG","PRY","Peninsular Malaysia","PER","PHL","BOL","POL","PRT","PRI","QAT","CMR","KOR","MDA","SSD","Republic of South Vietnam","REPUBLIC OF SUDAN","REU","Rhodesia-Nyasaland","ROU","RUS","RWA","Rwanda-Urundi","Ryukyu Islands","Sabah","SHN","LCA","SXM","WSM","STP","Sarawak","SAU","SEN","SRB","SYC","SLE","SGP","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","KNA","KNA","SPM","VCT","SUDAN","SUR","SWZ","SWE","CHE","SYR","TWN","TJK","Tanganyika","THA","TLS","TGO","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","United Korea","TZA","USA","URY","SUN","UZB","VUT","VEN","VNM","WLF","YEMEN","YUG","SCG","ZMB","Zanzibar","ZWE"
1981,73.525566,786.330783,4463.354297,,249.986924,,,0,6646.711162,504.969525,0,6007.038738,5286.488192,1019.290338,29.410226,0,345.570160,0,2926.830215,6690.826501,0,294.102264,0,60,0,287.709291,0,26051.070000,0,0,5440.891880,0,0,0,10146.528101,0,0,0,0,1860.474667,82900,0,4455.281820,0,51.467896,0,463.211065,1198.466725,2965.801439,3293.576574,0,1036.710480,7358.314581,,7999.581575,492.621292,,1602.857338,0,0,948.479801,,1235.229508,3499.816939,455.858509,0,,766.805576,132.346019,0,0,,,,95.583236,1816.081479,,,,,28226.464768,,0,,0,,146.969164,0,636.039640,43703.596401,397.516415,0,12940.499607,0,0,161.756245,514.678962,0,0,0,235.281811,308.807377,1514.923877,4632.110655,124.993462,20756.267268,6889.345530,5602.008627,1941.074941,9007.723288,2058.715847,41549.297319,161.756245,84826.780052,,963.184914,8135.620131,1301.402517,0,,1551.389442,,1402.693126,0,504.969525,2389.580893,,,88.230679,3198.362119,,1907.346865,345.435801,0,892.957896,36.762783,80.390905,2830.734289,0,22.057670,0,,176.461358,59.147233,0,17977.000875,213.224141,0,0,3602.752732,234.935808,315.954502,,0,29.649334,,,3316.003024,51.467896,889.659348,169.108802,36.567236,2500.008232,0,1838.139149,,0,0,3588.047618,,522.031518,0,154.403688,,3080.252591,4088.453970,374.980386,14227.197011,5698.231361,,257.339481,514.678962,15616.830208,1907.552856,0,,148.405019,0,,14741.875973,77048.437243,0,,,,0,0,0,0,0,,4735.046447,374.980386,4016.696834,0,0,2249.882318,3354.993187,1381.118895,0,0,8095.280153,28747.987725,640.254473,0,,0,0,,73.658524,0,2316.055327,4345.360948,2316.055327,14336.786107,504.969525,,6264.378219,,286.749707,0,139.728261,2021.953064,15043.330793,1402.853269,,,7.352557,20994.355896,1720.327083,12727.275466,,389.685500,65054,742.608216,127162.466311,7499.732580,0,4874.939398,544.089188,,80.878123,,,147.051132,,588.204528
1982,88.230679,830.838895,4396.828844,,249.789929,,,0,5624.905232,490.976237,0,5742.346701,5014.443598,991.044627,66.173009,0,323.374591,0,2845.724372,6323.395927,0,316.159934,0,60,0,297.907654,0,25644.119000,0,0,5610.000682,0,0,0,8425.955371,0,0,0,0,1132.293716,95200,0,5028.747086,0,36.762783,0,426.448283,1102.883489,2730.635179,3161.934891,0,1066.120706,7136.564465,,7984.876462,544.089188,,1772.208195,0,0,948.479801,,1588.152225,4257.130269,419.095726,0,,745.556508,147.051132,0,0,,,,88.230679,1860.038504,,,,,26145.691252,,0,,0,,176.560106,0,618.414248,41799.284243,294.102264,0,12859.621485,0,0,161.756245,507.839893,0,0,0,213.224141,279.397151,1433.748536,4367.234268,124.993462,22498.823181,7499.607727,5595.295569,1580.799668,10058.046575,2191.395563,39726.257342,213.224141,80686.956074,,794.076112,7910.172708,1301.402517,0,,1551.120756,,1363.822881,0,490.976237,1698.440573,,,80.878123,3992.438231,,1854.492083,345.570160,0,896.056117,36.895981,51.467896,3124.836553,0,29.410226,0,,198.519028,0,0,19293.340592,352.922717,0,0,3742.451307,352.922717,345.796615,,0,22.057670,,,3102.694179,51.467896,779.370999,102.935792,36.583452,3602.752732,0,1786.511671,,0,0,3698.698763,,352.922717,0,110.288349,,2588.099921,4352.713504,323.239944,16102.098943,5962.923399,,227.861620,529.384075,17888.770196,1878.643796,0,,185.433573,0,,14992.143712,74910.489996,0,,,,0,0,0,0,0,,7154.203512,360.275273,4095.753922,0,0,2698.055711,3250.170285,1340.969760,0,0,8007.038716,29564.630069,647.024980,0,,0,0,,73.525566,0,2301.350214,4102.315897,2595.841193,13432.082000,490.976237,,6609.309057,,279.397151,0,191.204522,1780.003840,15779.251627,1363.978586,,,14.705113,20430.179634,2220.472092,12962.470620,,397.038056,57475,661.730094,123677.354485,7291.906336,0,5433.326018,801.268831,,235.281811,,,154.403688,,573.499414
1983,14.705113,838.191452,4808.907105,,220.576698,,,0,5624.705795,508.563455,0,4837.982240,4904.155249,1026.544751,22.057670,0,308.807377,0,2947.660821,5720.289031,0,301.454820,0,116,0,284.985863,0,20869.935000,0,0,5646.534332,0,0,0,7867.235557,0,0,0,0,1257.287178,108250,0,4720.341334,0,14.705113,0,382.332943,639.672424,2846.886737,3227.772345,0,941.127244,7252.436888,,7984.876462,514.678962,,1654.325234,0,0,1102.883489,,1419.309560,5499.712333,433.800839,0,,772.263024,169.108802,0,0,,,,110.288349,1904.312158,,,,,24506.071131,,0,,0,,117.640906,0,640.566412,42240.285038,287.037609,0,14197.786785,0,0,161.756245,447.989240,0,0,0,213.224141,485.268735,1713.145687,4242.425155,117.362795,25351.615140,8183.681413,5595.295569,1485.216432,10797.019178,2058.400528,39211.184321,279.397151,80885.475102,,1271.992291,8193.522327,1278.339073,0,,1124.941159,,1412.676263,0,508.563455,1499.921545,,,88.230679,4992.385928,,1920.921685,352.922717,0,882.849668,36.970482,73.525566,3227.772345,0,22.057670,0,,205.871585,0,0,17065.283857,161.756245,0,0,3845.387099,419.095726,338.217603,,0,44.115340,,,3110.131440,58.820453,757.313329,102.935792,36.762783,3602.752732,0,1668.867149,,0,0,4940.918032,,323.512490,0,154.403688,,1963.484679,4382.123731,330.865047,16197.682179,6065.859191,,374.980386,610.262197,21278.298786,1970.763465,0,,200.239759,0,,13969.602117,77590.902308,0,,,,0,0,0,0,0,,8124.390052,397.038056,3954.618998,0,0,3154.246779,3315.291840,1349.903782,0,0,7896.645783,30638.103332,507.326405,0,,0,0,,73.525566,0,2242.529761,4094.999264,3625.285849,14809.785000,508.563455,,7263.698491,,235.281811,0,389.685500,2852.791959,13594.326566,1412.837546,,,22.057670,21180.250841,2066.068403,13396.268103,,419.095726,63884,404.390613,128147.708895,7553.109088,0,4441.119106,926.422131,,852.896565,,,154.403688,,580.851971
1984,110.431395,860.249122,5536.475116,,353.181268,,,0,5220.494896,516.280096,0,5462.949550,4896.473540,1042.120934,0,0,272.044594,147.775522,2992.386883,5705.583918,0,301.454820,0,116,0,270.931991,0,19497.272000,0,0,5720.529137,0,0,0,8609.843773,0,0,0,0,1396.985753,123020,,5279.135635,0,0,0,470.563622,536.736631,2884.242525,3345.037023,0,852.896565,7289.506578,,7984.876462,536.736631,,1669.150690,0,0,1139.646272,,1735.203356,6500.033402,397.038056,0,,783.980886,242.634368,0,0,,,,95.583236,1647.115619,,,,,22719.194346,,0,,0,,205.871585,0,650.285987,40461.118943,228.253478,0,13522.220671,0,0,169.108802,419.095726,0,0,0,220.576698,536.736631,1845.491705,4146.674553,117.640906,29027.619180,8859.830697,7984.876462,1374.928083,11624.109589,2066.387536,37777.435785,264.692037,78855.861903,,1985.190281,8317.845989,1161.703942,0,,1183.761612,,1434.111377,0,516.280096,1249.934621,,,80.878123,5984.981068,,1950.068614,338.217603,0,866.596836,36.762783,73.525566,3470.773525,0,22.057670,0,,191.166471,0,0,18432.859384,139.619201,0,0,3587.309185,448.505952,308.807377,,0,36.762783,,,3176.304449,58.820453,823.486339,102.935792,36.762783,2992.490534,0,1543.896950,,0,0,4698.685708,,301.454820,0,110.288349,,1948.427498,3654.220628,287.010152,16697.514910,5536.475116,,477.774111,0,20410.240493,2025.884064,0,,177.994998,0,,14013.972870,78765.224197,0,,,,0,0,0,0,0,,7146.685010,382.332943,3765.193365,0,0,2823.071811,3298.779968,1339.826597,0,0,8183.395490,25432.493262,499.973848,0,,0,0,,51.467896,0,2389.580893,4183.996353,4278.713790,14234.401000,516.280096,,8241.558564,,242.634368,0,404.390613,2779.266393,15733.868837,1434.275107,,,22.057670,21520.159351,4007.143344,13477.236239,,367.627830,70488,330.865047,130132.899176,7667.715498,0,4779.161787,1095.530933,,1389.633196,,,242.634368,,647.264176
1985,73.602476,852.896565,6095.269417,,352.922717,,,0,4631.941809,518.422075,0,5889.397833,4558.585089,1046.444559,0,0,242.547464,220.576698,3004.801907,5536.475116,0,301.454820,0,116,0,260.942374,0,20634.513000,0,0,5293.840748,0,0,0,10190.643441,0,0,0,0,1426.639267,145950,,5396.367508,0,58.652394,0,477.916179,676.435207,2828.539500,3183.657006,0,661.730094,7110.588719,,7984.876462,441.598107,,1742.555913,0,0,1007.300254,,1963.132611,5749.699257,448.505952,0,,787.233521,249.986924,0,0,,,,95.583236,1610.328790,,,,,23542.886217,,0,,0,,242.634368,0,652.983940,37365.823410,360.275273,0,13668.402710,0,0,169.108802,529.384075,0,0,0,264.692037,345.570160,1838.139149,3676.434868,117.640906,33027.400375,10080.355092,7984.876462,1455.806206,12258.397260,2021.654972,36674.552296,242.634368,72841.778187,,2021.953064,8352.355652,845.544008,0,,1191.263975,,1440.061319,0,518.422075,999.947697,,,95.583236,6529.070256,,1958.159196,294.102264,0,840.170767,36.762783,58.436005,3124.836553,0,22.057670,0,,198.519028,0,0,20682.741702,146.991428,0,0,3690.983411,198.519028,477.916179,,0,29.410226,,,2911.684580,58.968989,970.537471,102.935792,36.898439,3337.885569,0,1602.857338,,647.024980,0,5227.667739,,301.454820,0,44.115340,,1756.930838,3080.721213,382.332943,14999.338806,5367.366314,,316.159934,0,20425.402221,2059.627087,0,,192.861721,0,,12234.654174,79089,0,,,,0,0,0,0,0,,8220.332866,404.390613,3634.159140,0,0,1992.542837,3209.202797,1304.242573,0,0,7036.396661,24197.704699,595.557084,0,,0,0,,51.467896,0,2124.888856,4257.130269,4293.893052,14417.679000,518.422075,,7918.703453,,286.749707,0,330.865047,3058.663544,17579.962819,1440.225729,,,22.057670,21628.064159,4205.353496,13337.450304,,301.454820,70665,315.808645,130713.751147,7699.527854,0,5293.840748,1294.049961,,1396.985753,,,316.159934,,698.492877
1986,88.230679,845.544008,6455.544690,,352.922717,,,0,5551.180229,534.625510,0,5926.160616,4565.937646,1079.151492,0,0,294.102264,198.519028,3098.717878,5756.846608,0,301.454820,0,116,0,267.296190,0,25257.140000,0,0,5698.459665,0,0,0,10602.386610,0,0,0,0,1433.984894,166060,,6006.590150,0,58.820453,0,551.441745,772.018442,2775.260921,3301.297911,0,860.249122,7143.598914,,7984.876462,441.153396,,2029.305620,0,0,1066.598787,,2015.084205,7609.896076,441.153396,0,,811.838737,272.044594,0,0,,,,95.583236,1419.043423,,,,,23491.418321,,0,,0,,213.224141,0,673.393145,38564.024817,220.576698,0,13337.537663,0,0,183.813915,647.666870,0,0,0,249.986924,360.275273,2235.177205,3845.218309,110.062348,36395.155145,10940.604213,7984.876462,1396.985753,12425.295890,2058.715847,35938.937006,242.634368,71260.978519,,1794.023809,8613.410994,1308.755074,0,,1014.652810,,1485.070861,0,534.625510,904.364461,,,95.583236,2073.420960,,2019.362040,389.685500,0,847.624449,36.762783,73.525566,3566.317014,0,22.057670,0,,198.519028,0,0,19748.967014,426.448283,0,0,3741.724617,73.525566,433.800839,,0,95.583236,,,3102.778883,36.762783,904.509345,102.935792,36.613946,3860.092212,0,1749.908470,,698.752346,0,5227.667739,,338.217603,0,176.461358,,2205.766979,3543.932279,294.102264,15800.644123,5440.891880,,308.807377,0,23403.187642,2154.438208,0,,148.449139,0,,14212.491898,81778.084235,0,,,,0,0,0,0,0,,9330.394319,360.772205,3717.038572,0,0,1801.376366,3208.800230,1302.260326,0,0,6712.958574,24035.044772,595.557084,0,,0,0,,51.467896,0,2051.363290,4389.476287,4197.818843,14806.115000,534.625510,,7911.350896,,345.570160,0,323.580742,2986.045590,19998.953939,1485.240409,,,14.705113,22367.816590,2742.290716,13410.976767,,301.454820,71473,337.827952,135110.579991,7940.178871,0,5749.699257,1526,,1161.703942,,,330.865047,,749.960773
1987,102.815117,860.673099,7543.723067,,352.922717,,0,0,6301.141002,542.417978,0,5867.424174,4521.822306,1094.880734,0,0,308.807377,205.073633,3143.883438,5691.081190,0,301.454820,0,116,0,263.117452,0,25468.027000,0,0,5492.139994,0,0,0,12587.576891,0,0,0,0,1595.504781,186250,,5962.923399,0,36.762783,0,580.851971,654.377537,2714.020473,3536.197802,0,853.656045,7195.659586,,8977.471603,492.621292,,1889.369538,0,0,1088.178376,,2146.946526,8742.189792,610.262197,0,,823.671745,352.922717,0,0,,,,58.820453,1426.486706,,,,,23557.362492,,0,,0,,139.698575,0,683.208230,37696.691057,272.044594,0,13168.428862,0,0,191.166471,1323.460187,0,0,0,249.986924,448.505952,2227.824648,4154.014071,132.346019,36975.729542,11845.320753,9976.727480,1448.453649,12623.898630,2227.824648,37255.760345,308.807377,71547.728226,,2264.587431,8738.956315,1322.522892,0,,1014.652810,,1506.716606,0,542.417978,904.364461,,,102.935792,2698.388270,,2048.795380,507.541101,0,844.607325,51.321681,73.525566,3316.003024,0,22.057670,0,,198.519028,80.878123,0,22344.686081,544.277715,0,0,3807.930198,73.252237,389.685500,,0,154.403688,,,2926.317525,51.467896,882.306791,102.935792,36.762783,3801.271760,0,1639.767834,,837.866823,0,6830.992985,,352.922717,0,264.692037,,2587.731875,3323.355581,397.038056,16087.393830,5852.635050,,301.358724,0,25660.422517,2216.863835,0,,126.164302,0,,14293.122983,83191.364911,66.569255,,,,0,0,0,0,0,,8595.138660,374.980386,3632.342670,0,0,1529.331772,3220.313004,1287.677845,0,0,6734.866781,23013.502142,595.557084,0,,0,0,,51.467896,0,2249.744170,4617.405542,3867.053327,15663.437000,542.417978,,9850.367000,,367.627830,0,323.512490,3404.233704,21976.171322,1506.888625,,,7.352557,22758.829884,3102.778883,14308.075134,,301.454820,70940,404.390613,137397.225092,8055.911454,0,6109.974530,1665,,757.313329,,,374.472283,,808.975878
1988,102.935792,742.980078,7197.838494,,999.947697,,0,0,6051.336754,549.415710,0,6396.724238,4764.456674,1109.005784,0,154.450252,308.807377,183.813915,3184.442662,6447.956523,0,198.519028,0,116,0,262.139581,0,25328.769000,0,0,5536.475116,0,0,0,12036.135146,0,0,0,0,1882.254488,210130,,6764.352067,0,73.525566,0,558.794301,698.492877,2617.722226,3565.989949,0,867.601678,7611.702030,,8028.314402,492.621292,,1683.735460,0,0,1492.568989,,2198.414422,9786.252828,624.967311,0,,834.297929,404.390613,0,0,,,,44.115340,1507.274102,,,,,25300.147244,,0,,0,,132.346019,0,692.022296,38725.915586,477.916179,0,13050.084106,0,0,242.634368,800.716920,0,0,0,249.986924,558.794301,2191.061865,3874.978883,132.346019,40696.400754,12242.006731,10521.508488,1683.942384,12279.542466,2323.124403,37880.727955,367.627830,77547.414408,,1830.786592,8851.697545,1242.582065,0,,889.659348,,1526.154749,0,549.415710,904.364461,,,102.935792,2720.720041,,2075.226878,565.914449,0,829.773160,51.322095,66.173009,3771.861533,0,22.057670,0,,198.519028,88.230679,0,22513.528294,499.815779,0,0,4220.367486,66.173009,353.237264,,0,214.013860,,,3418.938817,58.820453,808.898017,102.935792,29.410226,3499.816939,0,1426.272866,,867.601678,0,7043.305545,,220.576698,0,323.512490,,2514.207157,4095.772096,455.858509,16984.266083,5896.750389,,301.454820,579.885495,28990.651700,2277.033120,0,,141.068612,0,,14448.022706,84489.830813,58.820453,,,,0,0,0,0,0,,10947.956770,389.685500,3619.714884,0,0,1595.504781,3411.249456,1256.274530,0,51.467896,8484.850311,25403.551071,397.038056,0,,0,0,,51.467896,0,2249.882318,4962.975702,3330.708138,17280.809000,549.415710,,11514.410000,,374.980386,0,360.358555,3227.772345,22675.284539,1526.328988,,,14.705113,23118.575103,3286.592798,16506.383451,,191.166471,69733,433.800839,139492.703721,8159.840725,0,6198.205210,1956.089464,,647.024980,,,404.863032,,772.018442
1989,102.935792,757.313329,6815.819964,,1000.680259,,0,0,4470.354410,551.810189,0,6896.698086,4749.429740,1113.839084,0,154.403688,316.159934,213.224141,3198.321189,6720.466056,0,249.986924,0,116,0,251.675380,0,25920.012000,0,0,4970.118141,0,0,0,12587.576891,0,0,0,0,2007.247950,210290,,6638.901286,0,124.993462,0,610.262197,499.973848,2576.903066,3139.541666,0,1044.063036,7582.369049,,7079.157201,455.858509,,2007.247950,0,0,1602.857338,,2249.882318,12476.654694,632.319867,0,,837.933990,374.980386,0,0,,,,58.820453,1595.393526,,,,,26829.479015,,0,,0,,117.640906,0,695.038287,40762.573763,566.146858,0,12536.728704,0,0,220.576698,875.710461,0,0,0,220.576698,647.024980,2139.593969,3860.092212,117.414673,45997.302747,14094.850993,12520.777090,1624.915008,12757.695890,2286.645101,39380.293123,433.800839,79716.418604,,1926.369828,8890.275261,1213.171838,0,,1110.236046,,1532.806079,0,551.810189,904.364461,,,88.230679,2720.445940,,2084.271190,588.204528,0,809.318003,59.052945,73.525566,4793.866900,0,22.057670,0,,198.519028,88.230679,0,22763.745889,514.678962,0,0,4198.981653,73.525566,397.038056,,0,220.576698,,,3543.932279,66.025958,728.008185,132.346019,29.410226,3499.816939,0,1374.928083,,948.479801,0,6933.460869,,168.863361,0,323.512490,,2102.831186,3624.470841,507.326405,17124.104310,5984.981068,,301.454820,617.318251,30468.994530,2318.811555,0,,148.414634,0,,13264.012097,85085.304975,66.526876,,,,0,0,0,0,0,,11440.783980,382.332943,3471.867935,0,0,1705.793130,3346.105453,1229.124576,0,51.467896,8028.991802,27374.011048,397.038056,0,,0,0,,51.467896,0,2433.696233,5463.457165,3499.445685,18043.207000,551.810189,,15024.649000,,389.685500,0,382.246108,3263.630825,23792.873142,1532.981077,,,14.705113,23286.061983,3389.528590,16844.813344,,536.736631,70025,558.794301,140426.478409,8195.403172,0,4507.117193,1992.542837,,698.492877,,,382.332943,,720.550546
1990,112,750,6340,0,260,0,0,0,3611.600000,537.065607,0,7070,4900,1084.076874,0,148,337,200,3112.860812,6930,0,300,0,116,0,236.087219,,25848.359000,0,,4710,,,,11700,0,0,0,,2120,209710,,6250,0,90,0,620,500,2341.733304,3000,0,1130,7113.773594,10200,6130,461,,1660,,0,1060,,2250,14100,641,0,0,815.544070,340,0,0,30500,,,78,1670,,7230,,,26400,,,,0,,116,0,676.466596,37700,675,0,13600,0,0,225,1680,,0,,200,652,1810,3930,114,49000,13800,10000,1630,14689.668493,2870,40000,442,84400,,1820,8652.723673,1510,0,,900,,1491.848909,,537.065607,900,,0,49,2700,,2028.578659,636,,744.106982,60,99,5880,0,20,0,,250,104,0,24289.012000,441,0,0,4200,79,414,,0,107,,,3730,65,750,219.400000,20,3500,0,1260,0,1000,0,7490,,300,,326,,2190,6360,560,12500,7280,,267,624,33600,2288,0,,170.735946,,,9470,83034,60,,,,0,0,0,0,0,,12000,470,3268.614061,0,,1850,3115.573013,1125.366553,0,40,7810,28100,400,0,,0,0,,50,0,2480,5210,3500,18458.413000,537.065607,,18059.121000,,399,0,438,3300,24500,1492.019231,0,0,27,22729.100000,3260,14700,,540,71400,500,137000,7976.418834,0,5230,2500,,828,7950,,437,,700
1991,112,600,6319,0,260,0,0,0,4339.100000,505.768314,0,6108,5016,1020.902708,0,150,275,200,2931.460037,7184,0,320,0,116,0,244.818957,,27490.090000,0,,2374,,,,9396,0,0,0,,2251,252610,,6302,0,103,0,700,500,1888.061155,2000,0,1134,5817.343660,8299,5169,250,,2016,,0,1235,,2300,16427,680,0,,768.018551,290,0,0,,,,79,1324,,,,,26507,,,,0,,117,0,637.045763,34396,750,0,11808,0,0,240,1440,,0,,250,693,1677,2529,106,51000,16153,5000,1600,15135.789041,3550,40806,384,89564,,1363,8148.489505,1423,0,,98,0,1404.911984,,505.768314,900,,0,2,2369,,1910.364012,688,,714.633535,60,120,7451,0,20,0,,245,105,0,24784.602000,227,0,0,5770,80,443,,0,136,,,3546,90,576,239,20,3500,0,1147,0,995,0,7762,,300,,326,,2200,6913,587.056950,12012,7473,,527,521,38335,1800,0,,170.716772,,,6692,76193.691555,60,,,,0,0,0,0,0,,11371,503,3270.105345,0,,2000,2498.370371,1007.079385,0,10,7427,25119,400,0,,0,0,,50,0,2395,4700,3500,19398.604000,505.768314,,19164.946000,,388,0,485,4009,26091,1405.072380,0,0,50,21744.500000,3473,12297,,540,68465,500,127000,7511.596072,0,6337,3000,,850,7500,,367,,865
1992,112,200,6400,0,300,0,0,0,5050.600000,400,0,5412,5031,800,0,220,273,175,2300,8073,0,370,0,116,0,150,,23902.730000,0,0,2132,,,,5698,0,0,0,,2645,308220,,6807,0,115,0,700,510,1768,2000,0,1131,5999.845409,8500,4747,174,,2072,,0,1365,,2250,17000,419,0,,600,300,0,0,,0,,84,1129,,,,,21165,,,,0,,116,0,500,37529,1024,0,10668,0,0,235,1400,,0,,200,650,1643,2236,100,50000,17280,2000,1600,15143.671233,3960,41347,475,88253,,3134,6400,1508,0,,533,,1100,7,1500,1500,,0,8,2300,,400,600,,516,60,112,8366,0,20,0,0,240,122,0,26586.993000,133,0,0,6340,30,464,,0,238,,,3300,90,579,277,29,3500,0,1266,0,970,,7793,0,250,,325,,2090,6667,649.643790,11908,7638,,544,620,42650,1088.200000,0,,252.072075,,,6271,61700,60,,,,0,0,0,0,0,,15324,601,2028.234443,0,,1900,2499.661784,801,0,25,7028,24616.107000,817,0,,0,0,,50,0,2289,4260,3700,21463.718000,400,,21723.249000,,350,0,482,3999,28607,1100,0,0,50,20100,3800,11006,,540,70883,500,,5900,0,6585,4000,,800,,2036,347,,900
1993,115,200,6400,0,250,0,0,0,5647.200000,200,0,5500,4941,600,0,225,275,62,1900,7612,0,506,0,108,0,150,,24842.915000,0,0,2007,,,,6672,0,0,0,,3021,363330,,7930,0,114,0,860,500,1683,1049,0,1089,5393,,3980,149,,2270,,0,1271,,2098,16000,861,0,0,500,350,0,0,,0,,80,835,,,,,20464,,,,0,,132,0,300,36649,1203,0,12618,0,0,230,1119,,0,,100,723,1712,2533,86,53812,18934,2000,1450,16073.156164,4536,33771,451,88046,,3514,4000,1417,0,,500,,700,7,1000,3000,,0,8,2300,,300,720,,499,60,127,8797,0,20,0,0,220,111,0,28029.205000,82,0,0,6350,20,400,,0,274,,,3078,90,800,255,29,3200,0,1344,0,1000,,8321,0,571,,490,,2500,7962,717.607410,12228,7617,,544,620,46893,960.300000,0,,251.740726,,,6240,49900,60,,,,0,0,0,0,0,,15300,590,1084.490154,0,,2980,2500,707,0,25,7356,22838.228000,676,0,,0,0,,50,0,2162,4000,4500,23970.821000,300,,26299.939000,,350,0,528,4269,31241,1100,0,0,50,15000,4000,11039,,540,75117,500,,5300,0,6842,4200,,800,,1088,350,,1000
1994,115,100,6060,0,240,0,0,0,6306,100,0,6500,4828,467,0,225,280,78,1488,8412,0,465,0,120,0,244,,25229.609000,0,0,1910,0,,100,10584,0,0,0,,2995,421190,,9322,0,87,0,940,1100,2055,1081,0,1053,5303,,4330,166,,2430,,0,1276,,2164,16100,850,0,45,402,464,0,0,,0,,94,869,,,,,21296,,38,,0,,126,0,100,36130,1346,0,12636,0,0,230,1200,250,0,,0,615,1927,2813,81,57000,21907,2000,1623,16739.736986,4800,32713,445,91624,,4000,2000,1452,0,,1000,,400,10,736,3450,,0,3,3800,,244,711,,486,40,122,9928,0,15,0,0,220,374,0,31480.242000,86,0,0,6350,60,470,20,0,316,,,3180,90,900,309,29,2627,0,1444,0,1200,,8100,0,615,,659,,3177,9571,776.301630,13834,7977,,469,479,51634,769.100000,0,,163.257113,321,,6676,37200,10,,,,0,0,0,0,0,,15000,685,1606.641477,0,100,3100,2700,898,0,25,7905,25130.751000,925,0,,0,0,,60,0,2153,4370,4500,22721.650000,200,,29929.089000,,286,0,583,4606,29493,700,0,0,36,11400,5000,12307,,315,79353,707,,4800,0,6927,4700,,800,,1612,280,,1070
1995,115,200,6822,0,200,0,0,0,5477.100000,228,0,6500,3843,196,0,197,280,75,1235,8223,0,579,0,140,0,226,,28256.304000,0,0,2070,30,,100,10440,0,0,0,,3275,475910,,9407,0,96,0,865,1000,1708,1470,0,1021,4825,,4220,235,,2584,,0,1453,,2616,17665,890,0,50,417,611,0,0,,0,,91,907,,,,,19692,,60,,0,,154,0,100,33302,1300,0,14480,0,0,230,1152,250,0,,0,721,1913,2875,82,62000,23129,2108,1730,17381.534247,6204,33715,523.462000,90474,,3508,2616,1566,0,,1950,,310,10,649,3538,,0,5,3210,,203,714,,524,40,139,10713,0,13,0,0,220,120,0,25121.619000,109,0,0,6401,60,517,20,0,327,,,3180,100,950,324,30,2602,0,1613,0,1177,,8586,0,615,,635,,3792,10554,892.430950,13914,8123,,475,552,55130,518.800000,0,,392.259688,313,,6842,36500,10,,,,0,0,0,0,0,,15773,694,1694.099179,0,100,3200,2902,991,0,25,9071,26421.841000,894,0,,0,0,,60,0,2539,4024,4463,22478.018000,100,,33860.907000,,350,0,559,4938,33153,437,0,0,85,7600,5918,11805,,596,78320,600,,3400,0,7672,5828,,1088,,1696,312,,968
